"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.991992370E-1,8.614161611E-2,1.555334777E-1,9.801301003E0,9.802913464E0
6.016062160E-1,9.571290761E-2,1.483550072E-1,9.796515465E0,9.798106216E0
6.040131950E-1,8.374879509E-2,1.387837082E-1,9.803693771E0,9.805033725E0
6.064201740E-1,9.092725813E-2,1.555334777E-1,9.803693771E0,9.805349050E0
6.088271530E-1,1.028913707E-1,1.603191197E-1,9.798908234E0,9.800759737E0
6.112341330E-1,9.571290761E-2,1.627119333E-1,9.810872078E0,9.812688065E0
6.136411120E-1,8.614161611E-2,1.579262912E-1,9.808479309E0,9.810128819E0
6.160480910E-1,1.004985496E-1,1.387837082E-1,9.794121742E0,9.795620531E0
6.184550700E-1,9.571290761E-2,1.603191197E-1,9.786943436E0,9.788724380E0
6.208620490E-1,9.332008660E-2,1.651047617E-1,9.791728973E0,9.793565465E0
6.232690280E-1,9.571290761E-2,1.507478207E-1,9.784550667E0,9.786179930E0
6.256760080E-1,9.571290761E-2,1.507478207E-1,9.794121742E0,9.795749413E0
6.280830390E-1,7.657032460E-2,1.507478207E-1,9.786943436E0,9.788403840E0
6.304900180E-1,8.374879509E-2,1.483550072E-1,9.794121742E0,9.795603288E0
6.328969970E-1,9.092725813E-2,1.507478207E-1,9.789336205E0,9.790919058E0
6.353039760E-1,9.332008660E-2,1.483550072E-1,9.798908234E0,9.800475520E0
6.377109560E-1,9.092725813E-2,1.555334777E-1,9.789336205E0,9.790993910E0
6.401179350E-1,9.332008660E-2,1.674975902E-1,9.794121742E0,9.795998407E0
6.425249140E-1,9.810572863E-2,1.651047617E-1,9.796515465E0,9.798397806E0
6.449318930E-1,9.332008660E-2,1.483550072E-1,9.806086540E0,9.807652679E0
6.473388720E-1,9.092725813E-2,1.507478207E-1,9.810872078E0,9.812451457E0
6.497458510E-1,9.332008660E-2,1.531406492E-1,9.815657616E0,9.817295713E0
6.521528310E-1,9.571290761E-2,1.435693651E-1,9.806086540E0,9.807604517E0
6.545598100E-1,8.614161611E-2,1.459621787E-1,9.798908234E0,9.800373866E0
6.569667890E-1,9.571290761E-2,1.746760458E-1,9.791728973E0,9.793754590E0
